Persona,Age,Gender,Nationality,Emirate,Income,Shopping_Frequency,Shopping_Channel,Avg_Spend_Bucket,Recent_Luxury_Purchase,Luxury_View,Social_Perception,Motivation,Trade_Off,Discount_Sensitivity,Scenario_Behavior,Categories,Ethnic_Preference,Color_Preference,Kitchenware_Type,Bundle_Preference,Discovery_Channel,Influencer_Impact,Risk_Concern,Max_Spend,Interest_Level,Will_Buy
Affluent Expat,51+,Male,Arab,Dubai,25K-50K,Rarely,Online,>15000,No,Reward,Medium,Social Media,Design,20-40%,Luxury Brand,Accessories,Saree,Pastel,NA,Maybe,Instagram,Low,Price,14595,Interested,No
Value Expat,41-50,Female,Other,Sharjah,10K-25K,Occasional,Mixed,5000-15000,No,Occasional,Medium,Design,Brand,40%+,Luxury Brand,Ethnic Wear,Fusion,Bold,Non-stick,No,TikTok,Low,Social,6443,Very Interested,No
Luxury Emirati,31-40,Female,Emirati,Dubai,>50K,Occasional,Mixed,1500-5000,No,Necessity,Low,Social Media,Design,No discount needed,Luxury Brand,Accessories,NA,Neutral,Steel,Yes,Instagram,Medium,Price,20497,Neutral,Yes
Affluent Expat,51+,Male,Emirati,Sharjah,25K-50K,Occasional,Online,<500,Yes,Reward,High,Design,Design,10-20%,Not Buy,Accessories,Abaya,Pastel,Non-stick,Yes,Influencers,Medium,Price,18670,Not Interested,Yes
Affluent Expat,31-40,Female,South Asian,Sharjah,10K-25K,Weekly,Mall,5000-15000,Yes,Reward,Low,Quality,Design,20-40%,Not Buy,Kitchenware,Fusion,Dark,NA,Yes,Instagram,Low,Price,16467,Neutral,No
Affluent Expat,31-40,Male,Western,Abu Dhabi,25K-50K,Occasional,Online,<500,Yes,Reward,High,Quality,Design,20-40%,Not Buy,Home Decor,Saree,Bold,Designer,Yes,Friends,Medium,None,10611,Interested,Yes
Value Expat,41-50,Female,Western,Abu Dhabi,10K-25K,Monthly,Boutique,1500-5000,Yes,Occasional,Medium,Design,Brand,20-40%,Wait Discount,Kitchenware,Saree,Neutral,NA,No,Friends,High,Trust,1442,Not Interested,No
Affluent Expat,51+,Male,Western,Sharjah,25K-50K,Monthly,Mixed,<500,Yes,Reward,Medium,Price,Brand,20-40%,Luxury Brand,Luxury Fashion,Abaya,Bold,Steel,Yes,Influencers,High,Social,3785,Neutral,Yes
Value Expat,31-40,Female,Emirati,Dubai,10K-25K,Monthly,Boutique,5000-15000,Yes,Occasional,Low,Price,Brand,40%+,Luxury Brand,Home Decor,Fusion,Dark,NA,Maybe,Friends,Low,Trust,6673,Neutral,Yes
Value Expat,21-30,Female,Emirati,Other,10K-25K,Monthly,Boutique,>15000,No,Occasional,High,Status,Brand,20-40%,Not Buy,Accessories,Fusion,Dark,Cast Iron,Yes,TikTok,Low,None,7652,Neutral,No
Luxury Emirati,31-40,Male,Arab,Dubai,25K-50K,Weekly,Mixed,5000-15000,Yes,Necessity,Medium,Price,Design,No discount needed,Luxury Brand,Accessories,Fusion,Neutral,Designer,No,TikTok,None,Social,36308,Very Interested,Yes
Value Expat,Under21,Male,South Asian,Dubai,10K-25K,Occasional,Online,1500-5000,Yes,Occasional,Low,Price,Brand,20-40%,Luxury Brand,Accessories,NA,Pastel,Non-stick,Yes,Instagram,High,Quality,3454,Very Interested,No
Luxury Emirati,31-40,Male,Other,Dubai,25K-50K,Occasional,Mall,>15000,No,Necessity,Medium,Social Media,Design,No discount needed,Wait Discount,Accessories,Saree,Neutral,Steel,No,Friends,None,Price,22482,Interested,Yes
Luxury Emirati,Under21,Female,Western,Sharjah,>50K,Monthly,Mixed,500-1500,No,Necessity,Low,Design,Brand,No discount needed,Not Buy,Luxury Fashion,Abaya,Bold,NA,Yes,Friends,None,Quality,23906,Neutral,Yes
Budget Buyer,41-50,Male,South Asian,Sharjah,<5K,Rarely,Boutique,<500,No,Not important,Medium,Price,Design,40%+,Wait Discount,Accessories,Fusion,Dark,Cast Iron,No,Mall,High,None,456,Not Interested,No
Budget Buyer,51+,Male,Western,Sharjah,<5K,Monthly,Mixed,500-1500,Yes,Not important,Low,Quality,Design,40%+,Not Buy,Home Decor,Saree,Neutral,Steel,Yes,Mall,Medium,Social,1513,Not Interested,No
Budget Buyer,31-40,Female,Other,Sharjah,<5K,Weekly,Boutique,<500,No,Not important,Medium,Social Media,Brand,40%+,Luxury Brand,Accessories,Abaya,Pastel,Non-stick,Yes,Influencers,Low,Quality,1438,Neutral,No
Affluent Expat,41-50,Female,South Asian,Abu Dhabi,25K-50K,Monthly,Mixed,5000-15000,Yes,Reward,Low,Price,Brand,20-40%,Wait Discount,Ethnic Wear,NA,Pastel,Steel,No,TikTok,Low,Social,8565,Very Interested,Yes
Luxury Emirati,Under21,Male,Emirati,Abu Dhabi,>50K,Weekly,Mall,500-1500,Yes,Necessity,Medium,Status,Brand,No discount needed,Not Buy,Ethnic Wear,NA,Bold,NA,Yes,Friends,None,Social,32142,Very Interested,Yes
Value Expat,41-50,Female,South Asian,Sharjah,10K-25K,Occasional,Online,1500-5000,No,Occasional,Low,Social Media,Brand,20-40%,Niche Brand,Ethnic Wear,Abaya,Bold,Designer,Maybe,Instagram,None,Trust,5232,Neutral,No
Affluent Expat,Under21,Female,Arab,Sharjah,25K-50K,Weekly,Mixed,<500,Yes,Reward,High,Price,Brand,10-20%,Wait Discount,Home Decor,Abaya,Neutral,Non-stick,Yes,Influencers,None,Price,15180,Not Interested,Yes
Luxury Emirati,21-30,Female,Western,Other,>50K,Weekly,Mixed,<500,Yes,Necessity,High,Social Media,Design,No discount needed,Wait Discount,Ethnic Wear,NA,Bold,Non-stick,No,YouTube,Medium,Quality,9519,Not Interested,Yes
Value Expat,41-50,Female,Western,Other,5K-10K,Monthly,Mixed,5000-15000,Yes,Occasional,Medium,Status,Design,20-40%,Luxury Brand,Home Decor,Fusion,Pastel,NA,Yes,Instagram,Medium,Trust,2196,Very Interested,Yes
Luxury Emirati,21-30,Female,Other,Dubai,>50K,Monthly,Mixed,500-1500,Yes,Necessity,Medium,Quality,Brand,No discount needed,Luxury Brand,Accessories,Fusion,Neutral,Non-stick,No,Mall,None,None,10100,Neutral,Yes
Budget Buyer,41-50,Female,Arab,Abu Dhabi,<5K,Monthly,Online,5000-15000,No,Not important,Low,Status,Design,40%+,Not Buy,Ethnic Wear,NA,Pastel,NA,No,YouTube,Low,Quality,2656,Interested,No
Affluent Expat,41-50,Male,Arab,Other,25K-50K,Rarely,Boutique,>15000,Yes,Reward,Low,Price,Brand,10-20%,Wait Discount,Luxury Fashion,NA,Pastel,Non-stick,Maybe,Instagram,None,None,11224,Interested,Yes
Value Expat,51+,Female,South Asian,Other,10K-25K,Weekly,Boutique,5000-15000,Yes,Occasional,Medium,Price,Design,20-40%,Not Buy,Luxury Fashion,Fusion,Bold,Designer,No,YouTube,Low,Price,5711,Interested,No
Affluent Expat,21-30,Male,South Asian,Dubai,25K-50K,Monthly,Boutique,>15000,Yes,Reward,High,Social Media,Design,20-40%,Not Buy,Home Decor,Fusion,Pastel,Designer,Maybe,YouTube,High,Quality,8690,Neutral,Yes
Value Expat,Under21,Female,South Asian,Abu Dhabi,5K-10K,Weekly,Mall,>15000,Yes,Occasional,High,Design,Design,40%+,Niche Brand,Luxury Fashion,Saree,Neutral,Cast Iron,No,Friends,Medium,None,1215,Interested,Yes
Value Expat,21-30,Female,Other,Sharjah,10K-25K,Monthly,Boutique,>15000,Yes,Occasional,High,Design,Design,40%+,Luxury Brand,Luxury Fashion,NA,Pastel,NA,No,YouTube,Low,Price,4645,Not Interested,No
Affluent Expat,31-40,Female,Emirati,Other,10K-25K,Occasional,Online,<500,No,Reward,Low,Quality,Design,20-40%,Niche Brand,Home Decor,NA,Pastel,NA,Maybe,Friends,Medium,Quality,17607,Neutral,No
Budget Buyer,51+,Female,South Asian,Abu Dhabi,<5K,Occasional,Mixed,>15000,No,Not important,Medium,Price,Brand,40%+,Niche Brand,Luxury Fashion,Fusion,Pastel,Non-stick,Maybe,Mall,None,Trust,2034,Interested,No
Value Expat,41-50,Male,Arab,Other,5K-10K,Rarely,Mall,1500-5000,Yes,Occasional,Medium,Price,Design,20-40%,Niche Brand,Accessories,Saree,Bold,Cast Iron,Yes,Friends,Low,Price,4115,Very Interested,No
Budget Buyer,21-30,Female,Emirati,Abu Dhabi,<5K,Rarely,Boutique,1500-5000,No,Not important,High,Status,Brand,40%+,Wait Discount,Luxury Fashion,Fusion,Dark,Designer,Yes,Influencers,Low,Social,1396,Very Interested,No
Budget Buyer,Under21,Female,Other,Other,<5K,Weekly,Mixed,>15000,No,Not important,High,Quality,Brand,40%+,Niche Brand,Ethnic Wear,Abaya,Dark,Designer,Maybe,TikTok,Low,Social,2965,Very Interested,No
Value Expat,21-30,Female,Other,Dubai,10K-25K,Weekly,Mixed,>15000,No,Occasional,Low,Social Media,Brand,20-40%,Not Buy,Ethnic Wear,Fusion,Pastel,NA,Maybe,TikTok,None,None,2913,Very Interested,Yes
Budget Buyer,41-50,Male,South Asian,Other,<5K,Occasional,Mall,5000-15000,No,Not important,High,Design,Design,40%+,Wait Discount,Home Decor,Saree,Bold,Cast Iron,No,YouTube,High,Quality,661,Neutral,No
Luxury Emirati,51+,Female,South Asian,Dubai,>50K,Rarely,Mixed,500-1500,No,Necessity,Medium,Status,Brand,No discount needed,Wait Discount,Kitchenware,NA,Dark,NA,Yes,Influencers,High,Quality,22270,Very Interested,Yes
Affluent Expat,21-30,Female,Other,Dubai,25K-50K,Rarely,Boutique,1500-5000,Yes,Reward,Medium,Design,Brand,20-40%,Not Buy,Luxury Fashion,Abaya,Bold,Steel,No,Influencers,Medium,None,17901,Very Interested,Yes
Luxury Emirati,Under21,Female,Western,Sharjah,>50K,Monthly,Mixed,>15000,Yes,Necessity,High,Design,Brand,No discount needed,Wait Discount,Ethnic Wear,Saree,Dark,Cast Iron,No,Influencers,High,Quality,24589,Neutral,Yes
Affluent Expat,41-50,Male,Emirati,Sharjah,25K-50K,Weekly,Online,<500,Yes,Reward,High,Design,Design,10-20%,Luxury Brand,Luxury Fashion,Fusion,Dark,Steel,Maybe,YouTube,Medium,Quality,13965,Neutral,Yes
Affluent Expat,Under21,Female,Western,Dubai,25K-50K,Weekly,Online,>15000,Yes,Reward,High,Design,Brand,10-20%,Wait Discount,Luxury Fashion,NA,Dark,NA,Maybe,Instagram,High,Social,3166,Interested,No
Affluent Expat,31-40,Male,Arab,Sharjah,25K-50K,Rarely,Mall,500-1500,Yes,Reward,Medium,Social Media,Brand,20-40%,Not Buy,Accessories,Abaya,Pastel,Non-stick,Yes,Instagram,None,Social,4151,Very Interested,Yes
Budget Buyer,51+,Male,Other,Other,<5K,Rarely,Mall,1500-5000,No,Not important,Low,Design,Design,40%+,Luxury Brand,Home Decor,Fusion,Dark,Designer,Maybe,TikTok,None,Social,2440,Very Interested,No
Affluent Expat,31-40,Female,Western,Sharjah,10K-25K,Monthly,Mixed,5000-15000,Yes,Reward,Medium,Social Media,Brand,20-40%,Luxury Brand,Accessories,NA,Bold,Non-stick,Yes,Instagram,None,None,13758,Interested,Yes
Affluent Expat,51+,Male,South Asian,Abu Dhabi,25K-50K,Occasional,Boutique,5000-15000,No,Reward,Medium,Design,Design,20-40%,Niche Brand,Kitchenware,NA,Dark,NA,No,TikTok,High,Quality,19433,Not Interested,Yes
Value Expat,21-30,Male,Arab,Abu Dhabi,10K-25K,Weekly,Online,500-1500,No,Occasional,High,Status,Brand,40%+,Luxury Brand,Home Decor,Fusion,Pastel,Cast Iron,No,TikTok,High,Social,6788,Not Interested,Yes
Luxury Emirati,21-30,Male,Western,Dubai,>50K,Occasional,Mall,5000-15000,Yes,Necessity,Medium,Price,Design,No discount needed,Wait Discount,Home Decor,Fusion,Pastel,Steel,No,Friends,Medium,Social,18825,Interested,Yes
Budget Buyer,31-40,Female,Emirati,Dubai,<5K,Rarely,Mixed,<500,No,Not important,Low,Price,Design,40%+,Luxury Brand,Home Decor,Abaya,Pastel,Steel,Yes,TikTok,High,Social,1942,Interested,No
Luxury Emirati,41-50,Female,Emirati,Dubai,25K-50K,Rarely,Online,<500,Yes,Necessity,Low,Status,Brand,No discount needed,Not Buy,Accessories,Abaya,Neutral,Designer,Yes,Friends,Medium,Trust,42039,Not Interested,Yes
Budget Buyer,Under21,Female,South Asian,Sharjah,<5K,Monthly,Mall,1500-5000,No,Not important,High,Status,Design,40%+,Wait Discount,Home Decor,Abaya,Pastel,Non-stick,Maybe,TikTok,Low,Price,2509,Very Interested,No
Value Expat,51+,Female,Emirati,Dubai,10K-25K,Occasional,Boutique,5000-15000,Yes,Occasional,Low,Status,Brand,40%+,Niche Brand,Kitchenware,Fusion,Dark,Steel,Maybe,Friends,Medium,Social,2064,Interested,No
Affluent Expat,21-30,Female,Western,Other,25K-50K,Occasional,Boutique,>15000,No,Reward,Low,Quality,Design,20-40%,Luxury Brand,Accessories,Saree,Dark,Cast Iron,No,TikTok,High,Quality,4551,Very Interested,Yes
Luxury Emirati,Under21,Female,Arab,Dubai,>50K,Monthly,Online,<500,Yes,Necessity,Low,Social Media,Design,No discount needed,Luxury Brand,Ethnic Wear,Fusion,Pastel,Designer,No,TikTok,None,Price,16024,Interested,Yes
Budget Buyer,51+,Male,Arab,Abu Dhabi,<5K,Monthly,Boutique,1500-5000,No,Not important,High,Price,Design,40%+,Not Buy,Kitchenware,Fusion,Neutral,Designer,Maybe,Instagram,Low,Social,1842,Interested,No
Value Expat,51+,Female,Other,Dubai,10K-25K,Weekly,Mall,5000-15000,Yes,Occasional,Low,Design,Brand,20-40%,Wait Discount,Home Decor,Fusion,Pastel,Designer,Yes,Instagram,None,Price,1120,Not Interested,No
Value Expat,51+,Male,South Asian,Other,10K-25K,Rarely,Online,>15000,Yes,Occasional,Low,Social Media,Design,20-40%,Niche Brand,Ethnic Wear,Abaya,Neutral,Steel,Maybe,Instagram,High,None,5841,Very Interested,Yes
Value Expat,Under21,Female,Other,Abu Dhabi,10K-25K,Occasional,Online,5000-15000,No,Occasional,Low,Status,Brand,20-40%,Niche Brand,Luxury Fashion,Abaya,Pastel,NA,Maybe,Friends,None,Price,3156,Neutral,Yes
Luxury Emirati,51+,Female,Other,Abu Dhabi,>50K,Rarely,Mall,<500,Yes,Necessity,Medium,Design,Design,No discount needed,Niche Brand,Accessories,Saree,Neutral,Steel,Maybe,Mall,Low,Price,13520,Interested,Yes
Affluent Expat,31-40,Female,Arab,Other,25K-50K,Rarely,Boutique,>15000,Yes,Reward,High,Status,Brand,10-20%,Wait Discount,Ethnic Wear,NA,Pastel,Steel,Yes,Friends,Medium,Trust,14803,Neutral,Yes
Luxury Emirati,21-30,Male,Other,Other,>50K,Weekly,Online,>15000,Yes,Necessity,Medium,Status,Brand,No discount needed,Luxury Brand,Kitchenware,Saree,Bold,Cast Iron,Maybe,TikTok,High,None,9920,Very Interested,Yes
Budget Buyer,Under21,Male,Emirati,Sharjah,<5K,Weekly,Boutique,>15000,No,Not important,Medium,Price,Design,40%+,Luxury Brand,Home Decor,Abaya,Dark,Non-stick,Yes,Instagram,Medium,Quality,1976,Neutral,No
Value Expat,51+,Male,Western,Abu Dhabi,10K-25K,Weekly,Online,1500-5000,Yes,Occasional,Medium,Status,Design,20-40%,Niche Brand,Accessories,NA,Dark,Steel,No,Influencers,None,Quality,7773,Not Interested,No
Affluent Expat,21-30,Male,Other,Abu Dhabi,10K-25K,Occasional,Mixed,>15000,Yes,Reward,High,Design,Brand,10-20%,Wait Discount,Accessories,Fusion,Neutral,Designer,Maybe,Mall,None,Social,14064,Interested,Yes
Luxury Emirati,31-40,Female,Emirati,Dubai,>50K,Rarely,Boutique,5000-15000,Yes,Necessity,Low,Status,Design,No discount needed,Not Buy,Luxury Fashion,Saree,Neutral,NA,Yes,Influencers,Low,Trust,16026,Not Interested,Yes
Affluent Expat,41-50,Male,Arab,Abu Dhabi,25K-50K,Weekly,Mall,<500,Yes,Reward,Low,Design,Brand,10-20%,Not Buy,Ethnic Wear,NA,Neutral,NA,Yes,Influencers,Medium,Trust,11235,Not Interested,Yes
Affluent Expat,31-40,Male,Other,Sharjah,25K-50K,Monthly,Mall,5000-15000,No,Reward,Low,Status,Design,20-40%,Niche Brand,Ethnic Wear,NA,Pastel,Steel,Maybe,TikTok,Medium,Quality,9410,Not Interested,Yes
Value Expat,31-40,Female,Other,Dubai,10K-25K,Monthly,Online,5000-15000,Yes,Occasional,Medium,Social Media,Brand,20-40%,Not Buy,Ethnic Wear,Fusion,Bold,Designer,Maybe,Influencers,None,Price,3552,Interested,No
Value Expat,Under21,Male,Other,Dubai,5K-10K,Rarely,Boutique,>15000,Yes,Occasional,Medium,Quality,Design,20-40%,Niche Brand,Luxury Fashion,NA,Neutral,Cast Iron,Maybe,Friends,Low,None,1203,Interested,Yes
Budget Buyer,21-30,Female,Western,Dubai,<5K,Monthly,Online,1500-5000,No,Not important,Low,Social Media,Brand,40%+,Wait Discount,Kitchenware,Saree,Pastel,NA,Maybe,YouTube,Low,None,2137,Very Interested,No
Value Expat,31-40,Female,Western,Abu Dhabi,10K-25K,Occasional,Mixed,>15000,Yes,Occasional,Medium,Quality,Brand,20-40%,Not Buy,Home Decor,NA,Pastel,Cast Iron,No,YouTube,Low,None,6107,Very Interested,Yes
Luxury Emirati,41-50,Male,Other,Sharjah,>50K,Occasional,Boutique,500-1500,No,Necessity,Low,Status,Design,No discount needed,Not Buy,Accessories,Fusion,Dark,Cast Iron,No,TikTok,Low,Price,18776,Very Interested,Yes
Value Expat,21-30,Female,Emirati,Abu Dhabi,5K-10K,Rarely,Mall,<500,Yes,Occasional,Low,Social Media,Design,20-40%,Wait Discount,Ethnic Wear,NA,Pastel,Cast Iron,Yes,Mall,High,Quality,5996,Neutral,Yes
Value Expat,31-40,Male,Arab,Dubai,5K-10K,Occasional,Mixed,5000-15000,Yes,Occasional,Medium,Status,Brand,40%+,Niche Brand,Ethnic Wear,NA,Neutral,Non-stick,Maybe,YouTube,Low,Price,6096,Not Interested,Yes
Value Expat,21-30,Female,Other,Dubai,5K-10K,Monthly,Online,<500,Yes,Occasional,Medium,Quality,Brand,20-40%,Not Buy,Home Decor,NA,Pastel,Designer,Yes,TikTok,Medium,Quality,7309,Not Interested,No
Value Expat,31-40,Male,Other,Sharjah,5K-10K,Occasional,Mixed,1500-5000,No,Occasional,Low,Status,Brand,40%+,Wait Discount,Home Decor,Abaya,Neutral,Non-stick,Maybe,Instagram,None,None,7582,Interested,No
Value Expat,41-50,Male,Emirati,Other,10K-25K,Monthly,Mall,>15000,Yes,Occasional,Low,Quality,Design,20-40%,Wait Discount,Home Decor,Saree,Neutral,Cast Iron,No,Influencers,None,Trust,7523,Not Interested,Yes
Value Expat,Under21,Female,Arab,Other,10K-25K,Occasional,Mixed,1500-5000,Yes,Occasional,High,Price,Design,40%+,Wait Discount,Home Decor,Abaya,Dark,NA,Yes,Mall,High,Trust,7628,Interested,No
Affluent Expat,21-30,Male,Western,Other,10K-25K,Monthly,Mixed,>15000,Yes,Reward,Medium,Design,Design,20-40%,Not Buy,Home Decor,Saree,Pastel,Non-stick,Yes,TikTok,High,Trust,8457,Very Interested,Yes
Luxury Emirati,51+,Male,South Asian,Sharjah,>50K,Rarely,Mixed,<500,No,Necessity,Low,Social Media,Brand,No discount needed,Not Buy,Luxury Fashion,NA,Dark,Steel,Maybe,Friends,Medium,None,35413,Not Interested,Yes
Luxury Emirati,41-50,Female,Western,Other,>50K,Occasional,Online,1500-5000,No,Necessity,Low,Price,Brand,No discount needed,Luxury Brand,Kitchenware,Abaya,Bold,Non-stick,Yes,Influencers,Low,None,44683,Very Interested,Yes
Luxury Emirati,41-50,Female,Emirati,Dubai,>50K,Rarely,Boutique,5000-15000,Yes,Necessity,Low,Price,Brand,No discount needed,Luxury Brand,Ethnic Wear,NA,Neutral,NA,No,Influencers,High,Social,41037,Interested,Yes
Value Expat,51+,Male,Other,Abu Dhabi,10K-25K,Rarely,Online,<500,Yes,Occasional,High,Quality,Design,40%+,Wait Discount,Home Decor,Abaya,Bold,Steel,No,Instagram,None,Price,1698,Very Interested,No
Affluent Expat,Under21,Female,South Asian,Other,25K-50K,Monthly,Boutique,>15000,No,Reward,Low,Quality,Brand,10-20%,Wait Discount,Kitchenware,Fusion,Bold,Non-stick,Yes,Friends,None,Trust,15768,Interested,Yes
Value Expat,21-30,Male,South Asian,Dubai,10K-25K,Occasional,Online,>15000,Yes,Occasional,High,Design,Design,40%+,Wait Discount,Luxury Fashion,NA,Neutral,Designer,Maybe,Friends,Low,Price,1912,Interested,No
Budget Buyer,Under21,Female,Emirati,Abu Dhabi,<5K,Occasional,Online,5000-15000,Yes,Not important,Medium,Status,Design,40%+,Wait Discount,Home Decor,Abaya,Bold,Non-stick,Yes,YouTube,Medium,Price,616,Very Interested,No
Affluent Expat,31-40,Male,Emirati,Dubai,25K-50K,Rarely,Mall,>15000,No,Reward,Low,Quality,Design,10-20%,Luxury Brand,Kitchenware,NA,Pastel,Non-stick,Yes,YouTube,Low,Social,19061,Not Interested,No
Affluent Expat,31-40,Male,Western,Other,25K-50K,Monthly,Mixed,500-1500,Yes,Reward,High,Design,Design,10-20%,Not Buy,Ethnic Wear,Abaya,Pastel,Designer,No,Friends,None,Trust,15391,Not Interested,Yes
Value Expat,31-40,Female,Arab,Sharjah,10K-25K,Monthly,Mixed,1500-5000,No,Occasional,Medium,Quality,Design,20-40%,Not Buy,Luxury Fashion,Fusion,Dark,Steel,No,Mall,Low,Quality,2251,Neutral,Yes
Affluent Expat,51+,Male,South Asian,Sharjah,25K-50K,Monthly,Mixed,500-1500,No,Reward,Medium,Design,Brand,20-40%,Not Buy,Kitchenware,Fusion,Neutral,Cast Iron,Yes,YouTube,None,Quality,6358,Very Interested,Yes
Luxury Emirati,21-30,Male,South Asian,Other,>50K,Rarely,Boutique,5000-15000,Yes,Necessity,Low,Status,Design,No discount needed,Luxury Brand,Ethnic Wear,Saree,Pastel,Steel,Yes,Instagram,None,Quality,21998,Not Interested,Yes
Affluent Expat,51+,Male,South Asian,Abu Dhabi,25K-50K,Monthly,Mixed,<500,Yes,Reward,High,Quality,Brand,10-20%,Niche Brand,Luxury Fashion,Fusion,Dark,Designer,Maybe,Mall,Low,Trust,9589,Very Interested,Yes
Luxury Emirati,31-40,Female,South Asian,Abu Dhabi,25K-50K,Weekly,Mixed,<500,Yes,Necessity,Low,Social Media,Design,No discount needed,Luxury Brand,Ethnic Wear,Abaya,Bold,NA,Maybe,Friends,Medium,None,10773,Very Interested,Yes
Budget Buyer,31-40,Female,South Asian,Dubai,<5K,Rarely,Mixed,1500-5000,No,Not important,Low,Quality,Brand,40%+,Wait Discount,Kitchenware,Abaya,Neutral,Designer,No,Influencers,High,Trust,784,Very Interested,No
